,Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Length (seconds),Fitness Discipline,Type,Title,Current FTP,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Fitness Indicator,Avg. Power Zone
0,2023-01-30,On Demand,Ben Alldis,5,300,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,200,41,137,39%,90,17.95,1.49,61,0.0,inf,Endurance
1,2023-01-31,Live,Jenn Sherman,15,900,Cycling,Intervals,15 min HIIT Ride,200,137,153,41%,84,17.95,4.49,256,159.52,0.96,Tempo
2,2023-02-01,Live,Robin Arzon,15,900,Cycling,Music,15 min 80s Ride,200,112,125,41%,84,17.55,4.39,206,137.85,0.91,Endurance
3,2023-02-02,Live,Bradley Rose,30,1800,Cycling,Low Impact,30 min Low Impact Ride,200,150,84,35%,78,14.61,7.3,322,118.81,0.71,Active Recovery
4,2023-02-04,On Demand,Bradley Rose,15,900,Cycling,Climb,15 min Climb Ride,200,158,176,51%,72,19.63,4.91,253,157.94,1.11,Tempo
5,2023-02-07,On Demand,Matt Wilpers,15,900,Cycling,Power Zone,15 min Intro to Power Zone Ride,200,96,106,37%,85,16.29,4.07,158,117.55,0.9,Active Recovery
6,2023-02-07,On Demand,Matt Wilpers,20,1200,Cycling,Power Zone,20 min Power Zone Beginner Ride,200,137,114,38%,85,16.68,5.56,265,134.74,0.85,Endurance
7,2023-02-09,On Demand,Denis Morton,10,600,Cycling,Power Zone,10 min FTP Warm Up Ride,200,69,114,38%,84,16.62,2.77,108,118.83,0.96,Endurance
8,2023-02-09,On Demand,Denis Morton,20,1200,Cycling,Power Zone,20 min FTP Test Ride,200,253,211,51%,82,21.75,7.25,377,170.69,1.24,
9,2023-02-09,On Demand,Christine D'Ercole,5,300,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,200,9,30,21%,80,9.14,0.76,79,151.27,0.2,Active Recovery
10,2023-02-09,On Demand,Cody Rigsby,5,300,Stretching,Pre & Post-Ride Stretch,5 min Post Ride Stretch,200,0,0,0,0,0.0,0.0,65,133.35,,
11,2023-02-10,On Demand,Christine D'Ercole,30,1800,Cycling,Power Zone,30 min Power Zone Endurance Ride,200,231,128,42%,79,17.73,8.87,358,126.41,1.01,Endurance
12,2023-02-10,On Demand,Christine D'Ercole,5,300,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,200,0,0,0,0,0.0,0.0,53,118.24,,
13,2023-02-11,On Demand,Andy Speer,5,300,Stretching,Full Body Stretch,5 min Full Body Stretch,200,0,0,0,0,0.0,0.0,3,0.0,,
14,2023-02-11,On Demand,Matt Wilpers,20,1200,Cycling,Low Impact,20 min Low Impact Ride,200,91,76,35%,76,13.96,4.65,231,123.87,0.61,Active Recovery
15,2023-02-11,On Demand,Matt Wilpers,5,300,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,200,0,0,0,0,0.0,0.0,58,124.87,,
16,2023-02-13,On Demand,Aditi Shah,30,1800,Yoga,Flow,30 min Morning Yoga Flow,200,0,0,0,0,0.0,0.0,146,0.0,,
17,2023-02-13,On Demand,Olivia Amato,30,1800,Cycling,Power Zone,30 min Power Zone Endurance Ride,200,235,130,40%,85,17.73,8.87,408,137.15,0.95,Endurance
18,2023-02-13,On Demand,Cliff Dwenger,5,300,Stretching,Pre & Post-Ride Stretch,5 min Holiday Post-Ride Stretch,200,0,0,0,0,0.0,0.0,5,122.8,,
19,2023-02-13,On Demand,Alex Toussaint,5,300,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,200,0,0,0,0,0.0,0.0,56,122.01,,
20,2023-02-15,On Demand,Matt Wilpers,30,1800,Cycling,Power Zone,30 min Power Zone Hip Hop Ride,200,262,145,39%,91,18.05,9.02,475,151.47,0.96,Endurance
21,2023-02-15,On Demand,Alex Toussaint,5,300,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,200,30,99,43%,70,16.07,1.34,74,144.3,0.69,Active Recovery
22,2023-02-15,On Demand,Bradley Rose,5,300,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,200,0,0,0,0,0.0,0.0,65,132.9,,
23,2023-02-26,Live,Chelsea Jackson Roberts,30,1800,Yoga,Flow,30 min BHM Celebration Yoga Flow,200,0,0,0,0,0.0,0.0,25,0.0,,
24,2023-02-27,On Demand,Matt Wilpers,45,2700,Cycling,Power Zone,45 min Power Zone Endurance Ride,200,372,138,40%,88,18.19,13.64,671,145.45,0.95,Endurance
25,2023-02-27,On Demand,Matt Wilpers,5,300,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,200,0,0,0,0,0.0,0.0,68,136.86,,
26,2023-03-01,On Demand,Olivia Amato,45,2700,Cycling,Power Zone,45 min Power Zone Endurance Ride,200,386,143,41%,88,18.55,13.91,640,141.12,1.01,Endurance
27,2023-03-01,On Demand,Kendall Toole,5,300,Stretching,Pre & Post-Ride Stretch,5 min AFO Post-Ride Stretch: Green Day,200,0,0,0,0,0.0,0.0,59,125.33,,
28,2023-03-03,On Demand,Christine D'Ercole,60,3600,Cycling,Power Zone,60 min Power Zone Endurance Ride,200,513,141,42%,83,18.35,18.48,839,138.87,1.02,Endurance
29,2023-03-03,On Demand,Christine D'Ercole,5,300,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,200,0,0,0,0,0.0,0.0,56,121.64,,
30,2023-03-06,On Demand,Denis Morton,45,2700,Cycling,Power Zone,45 min Power Zone Ride,200,429,159,44%,84,19.26,14.44,663,144.51,1.1,Tempo
31,2023-03-06,On Demand,Leanne Hainsby,5,300,Cycling,Warm Up/Cool Down,5 min Whitney Houston Cool Down Ride,200,31,103,39%,78,16.24,1.35,69,138.3,0.74,Active Recovery
32,2023-03-06,On Demand,Matty Maggiacomo,5,300,Stretching,Lower Body Stretch,5 min Lower Body Stretch,200,0,0,0,0,0.0,0.0,64,132.23,,
33,2023-03-06,On Demand,Jermaine Johnson,5,300,Stretching,Lower Body Stretch,5 min Lower Body Stretch,200,0,0,0,0,0.0,0.0,62,128.84,,
34,2023-03-07,On Demand,Kirra Michel,30,1800,Yoga,Slow Flow,30 min Slow Flow,200,0,0,0,0,0.0,0.0,146,0.0,,
35,2023-03-08,On Demand,Ben Alldis,45,2700,Cycling,Power Zone,45 min Power Zone Endurance Ride,200,398,148,44%,82,18.76,14.07,609,136.58,1.08,Endurance
36,2023-03-08,On Demand,Marcel Maurer,10,600,Stretching,Lower Body Stretch,10 min Lower Body Stretch,200,0,0,0,0,0.0,0.0,97,112.33,,
37,2023-03-11,On Demand,Olivia Amato,60,3600,Cycling,Power Zone,60 min Power Zone Endurance Ride,200,545,151,42%,88,19.04,19.03,917,147.81,1.02,
38,2023-03-11,On Demand,Alex Toussaint,5,300,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,200,24,80,38%,72,14.64,1.22,67,136.37,0.59,Active Recovery
39,2023-03-11,On Demand,Adrian Williams,5,300,Stretching,Lower Body Stretch,5 min Lower Body Stretch,200,0,0,0,0,0.0,0.0,53,117.83,,
40,2023-03-13,On Demand,Ben Alldis,45,2700,Cycling,Power Zone,45 min Power Zone Ride,200,446,165,42%,92,19.4,14.55,683,147.04,1.12,Tempo
41,2023-03-13,On Demand,Ally Love,5,300,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,200,29,96,38%,78,15.86,1.32,63,130.68,0.73,Active Recovery
42,2023-03-13,On Demand,Hannah Frankson,5,300,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,200,0,0,0,0,0.0,0.0,65,132.73,,
43,2023-03-14,On Demand,Rad Lopez,10,600,Strength,Upper Body,10 min Arms & Shoulders Strength,200,0,0,0,0,0.0,0.0,71,84.68,,
44,2023-03-15,On Demand,Christine D'Ercole,45,2700,Cycling,Power Zone,45 min Power Zone Ride,200,428,159,44%,85,19.31,14.48,609,136.7,1.16,Tempo
45,2023-03-15,On Demand,Hannah Frankson,5,300,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,200,28,93,33%,93,15.68,1.3,67,135.9,0.68,Active Recovery
46,2023-03-15,On Demand,Hannah Frankson,5,300,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,200,0,0,0,0,0.0,0.0,62,129.96,,
47,2023-03-17,On Demand,Anna Greenberg,45,2700,Yoga,Flow,45 min Yoga Flow,200,0,0,0,0,0.0,0.0,226,0.0,,
48,2023-03-18,On Demand,Denis Morton,60,3600,Cycling,Power Zone,60 min Power Zone Endurance Ride,200,553,154,44%,84,19.15,19.15,890,144.93,1.06,Tempo
49,2023-03-18,On Demand,Leanne Hainsby,5,300,Cycling,Warm Up/Cool Down,5 min Whitney Houston Cool Down Ride,200,33,111,40%,80,16.57,1.38,75,146.15,0.76,
50,2023-03-18,On Demand,Hannah Corbin,15,900,Stretching,Lower Body Stretch,15 min Lower Body Stretch,200,0,0,0,0,0.0,0.0,70,91.26,,
51,2023-03-20,On Demand,Olivia Amato,45,2700,Cycling,Power Zone,45 min Power Zone Max Ride,200,448,166,42%,92,19.22,14.41,720,152.42,1.09,Tempo
52,2023-03-20,On Demand,Camila Ramon,5,300,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,200,23,76,35%,75,14.31,1.19,72,142.29,0.53,Active Recovery
53,2023-03-20,On Demand,Camila Ramon,5,300,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,200,0,0,0,0,0.0,0.0,73,143.12,,
54,2023-03-21,On Demand,Ross Rayburn,20,1200,Yoga,Flow,20 min Yoga Flow,200,0,0,0,0,0.0,0.0,107,0.0,,
55,2023-03-22,On Demand,Matt Wilpers,45,2700,Cycling,Power Zone,45 min Power Zone Ride,200,452,167,45%,86,19.73,14.8,747,156.26,1.07,Tempo
56,2023-03-22,On Demand,Cody Rigsby,5,300,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,200,31,105,43%,70,16.35,1.36,73,143.31,0.73,Active Recovery
57,2023-03-22,On Demand,Cody Rigsby,5,300,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,200,0,0,0,0,0.0,0.0,69,137.73,,
58,2023-03-25,On Demand,Ben Alldis,60,3600,Cycling,Power Zone,60 min Power Zone Ride,200,581,158,43%,86,19.16,19.37,903,144.73,1.09,Tempo
59,2023-03-25,On Demand,Bradley Rose,5,300,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,200,0,0,0,0,0.0,0.0,68,136.75,,
60,2023-03-27,On Demand,Christine D'Ercole,45,2700,Cycling,Power Zone,45 min Power Zone Endurance Ride,200,383,142,42%,86,18.42,13.82,577,132.06,1.08,Endurance
61,2023-03-27,On Demand,Sam Yo,5,300,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,200,29,98,39%,76,15.62,1.29,64,132.97,0.74,Active Recovery
62,2023-03-27,On Demand,Logan Aldridge,10,600,Stretching,Lower Body Stretch,10 min Lower Body Stretch,200,0,0,0,0,0.0,0.0,107,118.48,,
